Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal;Descripcio_dia_setmana;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud_WGS84;Latitud_WGS84
2021S002939    ;-1;Desconegut;-1;Desconegut;-1;Corts Catalanes                                   ;Desconegut;Dijous;2021;6;Juny;3;9;Matí;No és causa del  vianant;0;1;0;1;2;427746,59;4579719,63;2.134.988.679;41.363.897.204
2021S004839    ;-1;Desconegut;-1;Desconegut;-1;A Zona Franca                                     ;Desconegut;Divendres;2021;9;Setembre;3;7;Matí;No és causa del  vianant;0;1;0;1;2;428406,01;4577126,95;2.143.178.117;41.340.604.679
2021S000882    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;41507;Besalú;0064 0064;Divendres;2021;2;Febrer;19;15;Tarda;No és causa del  vianant;0;8;0;8;2;431970,11;4585374,39;2.184.846.065;41.415.196.279
2021S001565    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;209900;Meridiana;0181 0181;Divendres;2021;3;Març;26;9;Matí;No és causa del  vianant;0;1;0;1;2;432112,48;4585144,79;2.186.575.245;41.413.140.388
2021S001798    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret;0352 0354;Divendres;2021;4;Abril;9;8;Matí;No és causa del  vianant;0;1;0;1;2;431634,47;4585457,96;2.180.820.820;41.415.920.467
2021S003063    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Maragall;0001 0003;Dimarts;2021;6;Juny;8;10;Matí;No és causa del  vianant;0;1;0;1;3;431648,6;4585174,8;2.181.021.893;41.413.371.338
2021S003517    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;95506;Conca;0025X0025X;Divendres;2021;6;Juny;25;18;Tarda;No és causa del  vianant;0;0;0;0;1;431500,27;4585259,82;2.179.237.604;41.414.124.450
2021S002164    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;90502;Còrsega;0703 0703;Dilluns;2021;4;Abril;26;12;Matí;No és causa del  vianant;0;2;0;2;2;431608,75;4585096,78;2.180.553.942;41.412.665.245
2021S003390    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161101;Independència;0267 0267;Diumenge;2021;6;Juny;20;22;Nit;No és causa del  vianant;0;1;0;1;1;431910,13;4584465,3;2.184.230.789;41.407.003.301
2021S002174    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;209900;Meridiana;0117B0117B;Dilluns;2021;4;Abril;26;18;Tarda;No és causa del  vianant;0;1;0;1;2;432101,88;4584634,03;2.186.505.771;41.408.539.231
2021S002678    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;350308;València;0597 0597;Dijous;2021;5;Maig;20;17;Tarda;No és causa del  vianant;0;1;0;1;2;432013,31;4584734,55;2.185.434.875;41.409.437.094
2021S001450    ;10;Sant Martí;65;el Clot;161101;Independència;0223 0225;Diumenge;2021;3;Març;21;8;Matí;No és causa del  vianant;0;0;0;0;2;432092,78;4584277,78;2.186.436.901;41.405.329.823
2021S006494    ;10;Sant Martí;65;el Clot;161101;Independència;0241 0241;Divendres;2021;11;Novembre;12;22;Nit;No és causa del  vianant;0;1;0;1;2;432030,14;4584333,82;2.185.681.255;41.405.829.262
2021S003224    ;10;Sant Martí;65;el Clot;89004;Consell de Cent;0613 0613;Dilluns;2021;6;Juny;14;16;Tarda;No és causa del  vianant;0;1;0;1;2;432028,05;4584383,73;2.185.650.644;41.406.278.610
2021S006164    ;10;Sant Martí;72;Sant Martí de Provençals;115603;Espronceda;0224 0230;Dissabte;2021;10;Octubre;30;11;Matí;No és causa del  vianant;0;1;0;1;2;432927,24;4584980,57;2.196.341.451;41.411.729.756
2021S000146    ;10;Sant Martí;72;Sant Martí de Provençals;3406;Agricultura;0280 0280;Dilluns;2021;1;Gener;11;13;Matí;Desobeir el senyal del semàfor;0;1;0;1;1;433207,33;4585859,77;2.199.595.317;41.419.671.804
2021S001864    ;10;Sant Martí;65;el Clot;209900;Meridiana;0106 0106;Diumenge;2021;4;Abril;11;19;Tarda;No és causa del  vianant;0;0;0;0;2;432157,98;4584545,43;2.187.186.855;41.407.745.976
2021S006600    ;10;Sant Martí;65;el Clot;209900;Meridiana;0068 0078;Dimecres;2021;11;Novembre;17;17;Tarda;No és causa del  vianant;0;1;0;1;2;432154,14;4584227,32;2.187.176.597;41.404.880.528
2021S006793    ;10;Sant Martí;72;Sant Martí de Provençals;169409;Corts Catalanes;0983 0983;Dijous;2021;11;Novembre;25;13;Matí;No és causa del  vianant;0;2;0;2;3;433057,21;4585063,16;2.197.887.269;41.412.484.463
2021S002716    ;10;Sant Martí;65;el Clot;209900;Meridiana;0092 0092;Diumenge;2021;5;Maig;23;1;Nit;No és causa del  vianant;0;1;0;1;1;432156,42;4584473,49;2.187.176.262;41.407.097.902
2021S003555    ;10;Sant Martí;72;Sant Martí de Provençals;115603;Espronceda;0276 0276;Dilluns;2021;6;Juny;28;12;Matí;No és causa del  vianant;0;1;0;1;2;432683,9;4585232,93;2.193.402.039;41.413.982.333
2021S004906    ;10;Sant Martí;72;Sant Martí de Provençals;158504;Huelva;0010 0030;Dimarts;2021;9;Setembre;7;2;Nit;No és causa del  vianant;0;0;0;0;2;432655,93;4585333,46;2.193.056.198;41.414.885.433
