Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal;Descripcio_dia_setmana;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2022S007749    ;-1;Desconegut;-1;Desconegut;-1;Fernando Pessoa                                   ;17;Dilluns;2022;12;Desembre;19;11;Matí;No és causa del  vianant;0;1;0;1;2;432684,59;4588039,29;219.309.773.734.525;414.392.611.438.551
2022S003422    ;-1;Desconegut;-1;Desconegut;-1;Bac de Roda / Ramon Turró                         ;Desconegut;Dissabte;2022;6;Juny;4;14;Tarda;No és causa del  vianant;0;2;0;2;2;433936,91;4584121,59;220.851.521.304.019;414.040.796.070.100
2022S003346    ;-1;Desconegut;-1;Desconegut;-1;Viladrosa                                         ;97-103    ;Dimecres;2022;6;Juny;1;21;Tarda;No és causa del  vianant;0;1;0;1;2;431308,23;4588533,51;217.656.784.025.681;414.435.957.239.281
2022S006073    ;-1;Desconegut;-1;Desconegut;-1;A Zona Franca / Número 3 Zona Franca              ;Desconegut;Dissabte;2022;10;Octubre;8;21;Tarda;No és causa del  vianant;0;0;0;0;1;428020,43;4576283,26;213.867.072.493.585;413.329.741.092.914
2022S005123    ;-1;Desconegut;-1;Desconegut;-1;Carles Pi i Sunyer                                ;10;Divendres;2022;8;Agost;26;16;Tarda;No és causa del  vianant;0;1;0;1;2;431029,88;4582053,59;217.397.546.148.698;413.852.094.064.853
2022S003977    ;-1;Desconegut;-1;Desconegut;-1;Guipúscoa / Espronceda                            ;Desconegut;Dijous;2022;6;Juny;30;11;Matí;No és causa del  vianant;0;1;0;1;1;432695,3;4585200,75;219.354.220.381.238;414.136.962.077.680
2022S004286    ;-1;Desconegut;-1;Desconegut;-1;Estatut de Catalunya / Jorge Manrique             ;Desconegut;Dijous;2022;7;Juliol;14;7;Matí;No és causa del  vianant;0;1;0;1;2;429391,4;4587227,22;215.377.667.071.203;414.316.640.776.020
2022S005426    ;-1;Desconegut;-1;Desconegut;-1;Motors                                            ;38-40     ;Dissabte;2022;9;Setembre;10;14;Tarda;No és causa del  vianant;0;1;0;1;2;427593,18;4577814,42;213.338.262.513.950;413.467.264.771.681
2022S002974    ;-1;Desconegut;-1;Desconegut;-1;Dalt (Besòs)                                      ;S11       ;Dilluns;2022;5;Maig;16;20;Tarda;No és causa del  vianant;0;1;0;1;2;425089,54;4581936,96;210.294.994.237.711;413.836.273.000.542
2022S002801    ;-1;Desconegut;-1;Desconegut;-1;Joan XXIII                                        ;1;Dimarts;2022;5;Maig;10;21;Tarda;No és causa del  vianant;0;0;0;0;2;426451,5;4581657,08;211.927.105.805.228;413.812.323.062.258
2022S003194    ;-1;Desconegut;-1;Desconegut;-1;Jocs del 92 / Foc                                 ;Desconegut;Dijous;2022;5;Maig;26;21;Tarda;No és causa del  vianant;0;6;0;6;2;428989,33;4579247,93;214.990.142.012.880;413.597.620.632.343
2022S001039    ;-1;Desconegut;-1;Desconegut;-1;Mig (Ascendent)                                   ;K14       ;Dilluns;2022;2;Febrer;21;10;Matí;No és causa del  vianant;0;1;0;1;2;427334,3;4581216,56;212.988.060.905.330;413.773.449.960.320
2022S003094    ;-1;Desconegut;-1;Desconegut;-1;Francesc Ferrer i Guàrdia                         ;13-27     ;Diumenge;2022;5;Maig;22;20;Tarda;No és causa del  vianant;0;1;0;1;2;428733,49;4580289,66;214.672.051.246.641;413.691.219.640.656
2022S002212    ;-1;Desconegut;-1;Desconegut;-1;Ildefons Cerdà / Corts Catalanes                  ;Desconegut;Dissabte;2022;4;Abril;16;14;Tarda;No és causa del  vianant;0;1;0;1;1;427718,43;4579750,57;213.464.876.064.647;413.641.759.824.788
2022S005498    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;226400;Meridiana / Las Navas de Tolosa                   ;0293 0293;Dimecres;2022;9;Setembre;14;8;Matí;No és causa del  vianant;0;1;0;1;2;432141,03;4585382,64;218.689.031.416.923;414.152.877.819.504
2022S007303    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;226400;Las Navas de Tolosa                               ;0331 0331;Dilluns;2022;11;Novembre;28;15;Tarda;No és causa del  vianant;0;1;0;1;2;431973,04;4585538,56;218.486.282.916.210;414.166.778.879.595
2022S001340    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria                                         ;0255X0255X;Diumenge;2022;3;Març;6;6;Matí;No és causa del  vianant;0;1;0;1;2;431549,19;4585199,86;217.982.988.488.576;414.135.913.026.962
2022S000863    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret / Independència          ;0272 0274;Diumenge;2022;2;Febrer;13;14;Tarda;No és causa del  vianant;0;1;0;1;1;431281,04;4585126,89;217.662.995.990.221;414.129.111.815.693
2022S000954    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret                          ;0282 0284;Dijous;2022;2;Febrer;17;12;Matí;No és causa del  vianant;0;4;0;4;3;431349,6;4585179,44;217.744.425.384.287;414.133.903.466.385
2022S002592    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria                                         ;0267 0269;Dilluns;2022;5;Maig;2;17;Tarda;No és causa del  vianant;0;1;0;1;2;431572,74;4585262,63;218.010.453.773.893;414.141.586.589.687
2022S007370    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Maragall                                          ;0043 0043;Dijous;2022;12;Desembre;1;6;Matí;Creuar per fora pas de vianants;0;1;0;1;1;431601,21;4585393,87;218.043.031.206.932;414.153.431.206.651
2022S004407    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret                          ;0252 0256;Dimarts;2022;7;Juliol;19;10;Matí;No és causa del  vianant;0;1;0;1;2;431226,09;4585058,64;217.598.029.501.962;414.122.917.719.178
2022S001461    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria / Sant Quintí                           ;0254 0254;Divendres;2022;3;Març;11;20;Tarda;No és causa del  vianant;0;1;0;1;2;431460,81;4585127,29;217.878.071.038.030;414.129.301.491.833
2022S002966    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret                          ;0258 0260;Dimarts;2022;5;Maig;17;8;Matí;No és causa del  vianant;0;2;0;2;2;431205,74;4585069,47;217.573.559.444.880;414.123.875.709.233
2022S002764    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret                          ;0268 0268;Dilluns;2022;5;Maig;9;12;Matí;No és causa del  vianant;0;1;0;1;2;431268,03;4585099,78;217.647.738.886.889;414.126.658.972.678
