Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_conductor;Coordenada_UTM_X_ED50;Coordenada_UTM_Y_ED50;Longitud;Latitud
2020S006254    ;-1;Desconegut;-1;Desconegut;-1;Corts / Arístides Maillol                         ;;Dimecres;2020;12;Desembre;30;9;Matí;Manca precaució efectuar marxa enrera;426626.85 ;4581292.09;212.251.256.792.347;413.798.072.182.496
2020S001630    ;-1;Desconegut;-1;Desconegut;-1;Corts Catalanes / Castillejos                     ;;Dimecres;2020;3;Març;4;14;Tarda;No respectar distàncies;431937.47 ;4583875.38;218.572.687.817.742;414.035.409.224.891
2020S001281    ;-1;Desconegut;-1;Desconegut;-1;Corts Catalanes                                   ;871;Dimecres;2020;2;Febrer;19;22;Nit;Desobeir semàfor;432561.42 ;4584522.58;219.311.873.803.974;414.094.226.443.517
2020S001227    ;-1;Desconegut;-1;Desconegut;-1;A Zona Franca / Número 3 Zona Franca              ;;Dimarts;2020;2;Febrer;18;10;Matí;Manca d'atenció a la conducció;428020.43 ;4576283.26;213.977.114.397.879;413.348.202.617.433
2020S002367    ;-1;Desconegut;-1;Desconegut;-1;Molins de Rei                                     ;K60       ;Dissabte;2020;5;Maig;30;12;Matí;Altres;422891.03 ;4584730.23;207.740.261.582.518;414.104.233.155.153
2020S003321    ;-1;Desconegut;-1;Desconegut;-1;Antonio López / Laietana                          ;;Dimecres;2020;7;Juliol;22;7;Matí;No determinada;431670.89 ;4581662.45;218.278.760.947.717;413.835.871.061.881
2020S003321    ;-1;Desconegut;-1;Desconegut;-1;Antonio López / Laietana                          ;;Dimecres;2020;7;Juliol;22;7;Matí;Gir indegut o sense precaució;431670.89 ;4581662.45;218.278.760.947.717;413.835.871.061.881
2020S001168    ;-1;Desconegut;-1;Desconegut;-1;Número 3 Zona Franca / A Zona Franca              ;;Diumenge;2020;2;Febrer;16;6;Matí;Canvi de carril sense precaució;428020.43 ;4576283.26;213.977.114.397.879;413.348.202.617.433
2020S005723    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161101;Independència;0340 0340;Dimecres;2020;12;Desembre;2;13;Matí;Altres;431461.53 ;4584551.41;217.995.692.020.787;414.095.892.721.141
2020S000847    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;90502;Còrsega;0703 0703;Dimarts;2020;2;Febrer;4;6;Matí;Manca d'atenció a la conducció;431597.1  ;4585085.49;218.151.843.749.033;414.144.111.039.125
2020S003120    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161101;Independència;0377 0377;Dilluns;2020;7;Juliol;13;14;Tarda;Desobeir semàfor;431372.38 ;4585035.95;217.883.541.277.121;414.139.457.552.358
2020S001193    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;289105;Rosselló;0538 0538;Dilluns;2020;2;Febrer;17;7;Matí;Desobeir altres senyals;431636.55 ;4584898.98;218.201.150.930.014;414.127.346.267.177
2020S000174    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;134801;Freser;0002 0002;Dijous;2020;1;Gener;9;20;Tarda;Desobeir semàfor;431534.52 ;4584869.33;218.079.416.567.312;414.124.588.936.576
2020S006192    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161101;Independència;0357 0357;Dijous;2020;12;Desembre;24;16;Tarda;Altres;431466.56 ;4584937.05;217.997.341.701.321;414.130.630.328.963
2020S002380    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161101;Independència;0305 0305;Dilluns;2020;6;Juny;1;16;Tarda;Altres;431748.64 ;4584647.26;218.338.096.207.684;414.104.769.929.213
2020S002380    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161101;Independència;0305 0305;Dilluns;2020;6;Juny;1;16;Tarda;Manca d'atenció a la conducció;431748.64 ;4584647.26;218.338.096.207.684;414.104.769.929.213
2020S004818    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;191204;Mallorca;0520 0520;Dimecres;2020;10;Octubre;14;17;Tarda;Manca d'atenció a la conducció;431675.48 ;4584557.86;218.251.579.168.637;414.096.655.802.629
2020S000359    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;209900;Meridiana;0117B0117B;Dijous;2020;1;Gener;16;17;Tarda;Altres;432131.07 ;4584631.66;218.795.799.690.927;414.103.688.718.988
2020S003962    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;286300;Rogent;0039B0039B;Dimecres;2020;9;Setembre;2;19;Tarda;Manca d'atenció a la conducció;431901.26 ;4584766.26;218.519.347.106.230;414.115.617.333.304
2020S003342    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;191204;Mallorca;0578 0578;Dijous;2020;7;Juliol;23;10;Matí;No determinada;431930.85 ;4584810.79;218.554.247.362.670;414.119.653.074.169
2020S005887    ;10;Sant Martí;65;el Clot;146902;Glòries Catalanes;0019 0021;Dijous;2020;12;Desembre;10;10;Matí;Desobeir semàfor;432171.52 ;4584181.6 ;218.849.237.319.005;414.063.187.342.844
2020S001821    ;10;Sant Martí;72;Sant Martí de Provençals;153205;Guipúscoa;0040 0040;Dimarts;2020;3;Març;10;16;Tarda;Manca precaució efectuar marxa enrera;432877.17 ;4585348.9 ;219.680.455.385.906;414.168.914.937.382
2020S004624    ;10;Sant Martí;72;Sant Martí de Provençals;267907;Provençals;0250 0250;Dilluns;2020;10;Octubre;5;10;Matí;No determinada;432983.93 ;4585480.27;219.806.737.482.824;414.180.836.144.983
2020S000648    ;10;Sant Martí;65;el Clot;169409;Corts Catalanes;0823 0833;Dimarts;2020;1;Gener;28;11;Matí;Desobeir altres senyals;432353.63 ;4584318.24;219.065.567.605.070;414.075.647.550.789
2020S001773    ;10;Sant Martí;72;Sant Martí de Provençals;267907;Provençals;0263 0265;Dilluns;2020;3;Març;9;10;Matí;Manca precaució efectuar marxa enrera;432932.87 ;4585551.24;219.744.856.511.103;414.187.185.597.069
2020S004994    ;10;Sant Martí;65;el Clot;1604;Sèquia Comtal;0016 0016;Divendres;2020;10;Octubre;23;16;Tarda;Desconegut;432131.07 ;4584631.66;218.795.799.690.927;414.103.688.718.988
2020S004897    ;10;Sant Martí;65;el Clot;209900;Meridiana;0094 0094;Dissabte;2020;10;Octubre;17;22;Nit;Desobeir altres senyals;432129.98 ;4584483.85;218.796.153.486.491;414.090.375.010.765
2020S000168    ;10;Sant Martí;65;el Clot;209900;Meridiana;0068 0078;Dijous;2020;1;Gener;9;17;Tarda;Desobeir altres senyals;432127.7  ;4584285.31;218.795.652.545.057;414.072.491.199.307
2020S004847    ;10;Sant Martí;72;Sant Martí de Provençals;15201;Andrade;0085X0085X;Dijous;2020;10;Octubre;15;16;Tarda;Manca precaució incorporació circulació;433075.96 ;4585196.41;219.919.993.297.885;414.155.346.418.270
2020S000611    ;10;Sant Martí;72;Sant Martí de Provençals;128106;Fluvià;0236 0276;Dilluns;2020;1;Gener;27;8;Matí;Avançament defectuós/improcedent;432794.66 ;4585484.97;219.580.220.986.028;414.181.101.383.705
2020S003390    ;10;Sant Martí;72;Sant Martí de Provençals;158504;Huelva;0077 0079;Dijous;2020;7;Juliol;23;17;Tarda;Manca precaució incorporació circulació;433045.75 ;4585715.18;219.878.105.595.680;414.202.045.315.759
2020S002675    ;10;Sant Martí;65;el Clot;81603;Clot;0071 0071;Dissabte;2020;6;Juny;20;17;Tarda;Desconegut;432271.87 ;4584637.16;218.964.187.119.735;414.104.302.854.600
2020S003638    ;10;Sant Martí;65;el Clot;18505;Aragó;0538 0538;Dimarts;2020;8;Agost;11;13;Matí;Desobeir altres senyals;431837.23 ;4584359.62;218.447.322.733.940;414.078.938.285.490
2020S000568    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;209900;Meridiana;0151B0151B;Divendres;2020;1;Gener;24;20;Tarda;Desobeir semàfor;432136.49 ;4585039.63;218.797.708.081.249;414.140.437.871.170
2020S000586    ;10;Sant Martí;65;el Clot;81603;Clot;0224 0224;Dissabte;2020;1;Gener;25;19;Tarda;Manca precaució incorporació circulació;432493.41 ;4585359.59;219.221.170.456.159;414.169.556.280.103
2020S003648    ;10;Sant Martí;65;el Clot;115603;Espronceda;0309 0311;Dimarts;2020;8;Agost;11;19;Tarda;No determinada;432602.82 ;4585296.58;219.352.780.768.111;414.163.973.002.883
2020S002573    ;10;Sant Martí;65;el Clot;89004;Consell de Cent;0606B0606B;Dissabte;2020;6;Juny;13;20;Tarda;Desobeir semàfor;432028.36 ;4584359.69;218.675.975.422.402;414.079.106.436.909
2020S000666    ;10;Sant Martí;65;el Clot;86200;Concili de Trento;0036 0040;Dimarts;2020;1;Gener;28;17;Tarda;Gir indegut o sense precaució;432597.47 ;4584914.91;219.350.631.986.139;414.129.592.666.478
2020S002718    ;10;Sant Martí;65;el Clot;105304;Dos de Maig;0208 0208;Dilluns;2020;6;Juny;22;19;Tarda;Gir indegut o sense precaució;431837.23 ;4584359.62;218.447.322.733.940;414.078.938.285.490
2020S006178    ;10;Sant Martí;65;el Clot;18505;Aragó;0638X0642X;Dimecres;2020;12;Desembre;23;22;Nit;Gir indegut o sense precaució;432452.27 ;4585012.66;219.175.820.569.127;414.138.274.802.327
2020S001662    ;10;Sant Martí;70;el Besòs i el Maresme;701266;Litoral (Llobregat);550000;Dijous;2020;3;Març;5;10;Matí;No respectar distàncies;435017.2  ;4584731.2 ;222.247.631.838.029;414.115.039.280.988
2020S003457    ;10;Sant Martí;70;el Besòs i el Maresme;701266;Litoral (Llobregat);590000;Dimecres;2020;7;Juliol;29;20;Tarda;No respectat pas de vianants;434760.33 ;4584428.46;221.943.576.452.714;414.087.564.127.084
2020S005116    ;10;Sant Martí;70;el Besòs i el Maresme;701559;Eduard Maristany;0010 0014;Divendres;2020;10;Octubre;30;17;Tarda;Manca precaució incorporació circulació;434943.88 ;4585010.04;222.156.913.439.699;414.140.094.411.570
