Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_mediata;Coordenada_UTM_X;Coordenada_UTM_Y
2017S009198    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;346402;Trinxant / Ruiz de Padrón                         ;0090 0090;Dimarts;2017;11;Novembre;7;14;Tarda;No hi ha causa mediata;431940.75;4585401.48
2017S008278    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;95506;Conca / Indústria                                 ;0028 0028;Dissabte;2017;10;Octubre;7;12;Matí;No hi ha causa mediata;431576.37;4585215.20
2017S008462    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;90502;Còrsega                                           ;0655 0655;Dissabte;2017;10;Octubre;14;13;Matí;No hi ha causa mediata;431384.99;4584870.55
2017S001826    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;268003;ROSSELLÓ / Dos de Maig                            ;0573 0573;Dilluns;2017;3;Març;6;4;Nit;Alcoholèmia;431703.06;4584790.47
2017S009733    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;18505;Aragó                                             ;0537 0537;Dijous;2017;11;Novembre;23;8;Matí;No hi ha causa mediata;431877.03;4584413.10
2017S001624    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;109101;ENAMORATS                                         ;0121 0123;Dilluns;2017;2;Febrer;27;20;Tarda;No hi ha causa mediata;431890.19;4584524.82
2017S005133    ;10;Sant Martí;72;Sant Martí de Provençals;60807;Cantàbria / Guipúscoa                             ;0029 0029;Dilluns;2017;6;Juny;12;10;Matí;No hi ha causa mediata;433330.95;4585862.62
2017S001569    ;10;Sant Martí;65;el Clot;161101;INDEPENDÈNCIA / Aragó                             ;0261 0261;Dissabte;2017;2;Febrer;25;15;Tarda;No hi ha causa mediata;431960.88;4584412.80
2017S007531    ;10;Sant Martí;65;el Clot;169409;Glòries Catalanes / Badajoz                       ;0823 0823;Dilluns;2017;9;Setembre;11;17;Tarda;No hi ha causa mediata;432229.70;4584197.87
2017S010616    ;10;Sant Martí;65;el Clot;18505;Aragó                                             ;0560 0560;Dissabte;2017;12;Desembre;23;11;Matí;No hi ha causa mediata;431964.93;4584467.51
